u,v,length,is_blocked
1051823060,8081246560,156.16307545789996,False
1051823060,1051823179,324.32832177491764,False
1051823060,8079989152,120.87044224578344,False
1051823107,1052041264,282.23047932725376,False
1051823179,8079907906,206.0284571457525,False
1051823179,1051823060,324.3283217749176,False
1051823179,8079989136,624.0532677289528,False
1051829706,1052038023,45.069921743053975,False
1051829706,1052041264,817.6332349835633,False
1051829706,8065431439,60.099655229951125,False
1051829802,1051921000,56.97557863683976,False
1051829802,1051921000,248.3728371382852,False
1051829802,1051920581,1502.3635080735144,False
1051920581,8079989141,28.87449235169331,False
1051920581,8079989136,120.86358107948432,False
1051920581,1051829802,1502.3635080735146,False
1051920639,8077726861,182.5075851606027,False
1051920639,8077608910,180.4820127477927,False
1051920639,5172762027,35.437548987119726,False
1051920688,1051920691,677.1015299462822,False
1051920688,1051920876,551.6151553265461,False
1051920688,8077475907,730.4282696421175,False
1051920691,8076768255,95.81625261663552,False
1051920691,1051920688,677.1015299462821,False
1051920691,8076768258,170.27708813550683,False
1051920734,8079907903,2544.5110086515106,False
1051920734,8081267063,247.64913374812068,False
1051920734,1051920835,652.7555651911083,False
1051920835,1051921220,375.23750500041626,False
1051920835,1051921220,309.3282555910882,False
1051920835,1051920734,652.7555651911083,False
1051920876,8077192016,61.9976128480969,False
1051920876,1051920688,551.6151553265462,False
1051920876,8077487985,270.79001934178,False
1051920955,8079989141,335.2256317472841,False
1051920955,8081267050,553.6521016902697,False
1051920955,8079907906,762.8630510391124,False
1051921000,1051829802,56.97557863683976,False
1051921000,1051829802,248.3728371382852,False
1051921000,8076911454,1489.1605171976366,False
1051921026,8076954995,46.187149061865455,False
1051921026,8076954966,115.9479799289974,False
1051921026,8076840443,220.9340313398368,False
1051921159,8079767944,23.77401936127936,False
1051921159,6984346475,17.676625088889015,False
1051921159,8076840443,1217.3822664856646,False
1051921220,1051920835,375.23750500041626,False
1051921220,1051920835,309.3282555910882,False
1051921220,8076955001,1421.937042022366,False
1052037500,8065431444,69.55751295305049,False
1052037500,1052042308,406.5853482051986,False
1052037500,1052041264,163.628255395204,False
1052037526,1052043332,59.899557437188726,False
1052037526,1052038023,119.49606428174091,False
1052037526,8067683233,87.76756509303137,False
1052037526,8065509361,89.65339549735776,False
1052038023,1051829706,45.069921743053975,False
1052038023,8065431431,190.5531083984337,False
1052038023,1052037526,119.49606428174094,False
1052038023,8065431439,68.85168990128608,False
1052038333,1052042261,226.6641683098839,False
1052038333,1052042261,152.7503531043576,False
1052038333,1052041622,239.2074274324606,False
1052040475,8065509370,104.41792011984496,False
1052040475,1052042422,72.08075018609804,False
1052040475,8079989167,281.03996244322315,False
1052041264,1052037500,163.628255395204,False
1052041264,1051823107,282.23047932725376,False
1052041264,1051829706,817.6332349835636,False
1052041622,1052042261,62.93358214411521,False
1052041622,8065509370,890.9318296378328,False
1052041622,1052038333,239.20742743246055,False
1052041708,1052042422,15.378758702881866,False
1052041708,8065509361,141.1819738217909,False
1052041708,8065509362,81.69360719418924,False
1052042143,1052042829,1256.4094417162655,False
1052042143,1052042261,144.50316478724892,False
1052042143,12606333623,2045.3844641637663,False
1052042261,1052041622,62.93358214411521,False
1052042261,1052038333,226.6641683098839,False
1052042261,1052038333,152.7503531043576,False
1052042261,1052042143,144.50316478724892,False
1052042308,8065431431,81.12862359577653,False
1052042308,1052037500,406.5853482051986,False
1052042308,8065431449,45.33863093530684,False
1052042422,1052041708,15.378758702881866,False
1052042422,1052040475,72.08075018609803,False
1052042422,8065431468,120.1837554199619,False
1052042829,1052042143,1256.409441716266,False
1052043332,8065509361,6.316431715681278,False
1052043332,1052037526,59.899557437188726,False
1052043332,8067683233,82.06519210180751,False
2283183703,8065431498,22.9456168102377,False
2283183703,8081246560,40.65172873715079,False
2283183703,8081246572,135.4106733245316,False
2283183766,8073473931,116.9083454020672,False
2283183766,8073553031,227.68793316841192,False
2283183766,8073459845,101.40504030483008,False
5172762022,5172762029,51.17022904227511,False
5172762022,5172762029,101.27337740091464,False
5172762022,8077608899,37.29341290719952,False
5172762027,8077608890,50.92482030368057,False
5172762027,1051920639,35.43754898711973,False
5172762027,8079767943,45.61019944121086,False
5172762029,8077608850,332.9141385208055,False
5172762029,5172762022,51.17022904227511,False
5172762029,5172762022,101.27337740091464,False
6984346475,8077608899,39.02404951926315,False
6984346475,1051921159,17.67662508888902,False
6984346475,8079767943,26.439225539906992,False
8065132498,8073401144,337.520829799581,False
8065132498,8073401138,369.8454189767448,False
8065132498,8065132584,202.61613385944972,False
8065132503,8065132521,1989.9042111573872,False
8065132503,8065139685,550.5032094510018,False
8065132503,8065139708,305.69972795292773,False
8065132515,8065160427,237.3013430120592,False
8065132515,8065139718,187.1539794010631,False
8065132515,8065132521,177.41317467373244,False
8065132521,8065132503,1989.9042111573872,False
8065132521,8065132515,177.41317467373247,False
8065132521,8065139710,190.4255272678815,False
8065132579,8065132584,103.25401713935238,False
8065132584,8065139685,23.552837541215023,False
8065132584,8065132579,103.25401713935238,False
8065132584,8065132498,202.61613385944972,False
8065139685,8065132584,23.552837541215023,False
8065139685,8065139688,44.47500408410772,False
8065139685,8065132503,550.5032094510018,False
8065139688,8067682366,130.71171550667913,False
8065139688,8065139685,44.47500408410773,False
8065139688,8065139693,52.65372614993185,False
8065139693,8065139688,52.65372614993185,False
8065139708,8065132503,305.6997279529277,False
8065139708,8065160447,520.4695058614352,False
