node_id,type,latitude,longitude,damage_severity,current_capacity
2,road_intersection,27.771719583982275,85.35738487550043,0.1402490889986107,16
3,relief_camp,27.739473605811877,85.33297017131841,0.5540361435390494,293
5,relief_camp,27.79512447032735,85.3561458062044,0.6722400930398117,165
6,road_intersection,27.75222794039807,85.29178315510767,0.2812337838390083,22
7,road_intersection,27.75721286105539,85.31374823919057,0.6594226346919018,7
10,road_intersection,27.674159604846515,85.33368059235809,0.1077409459558965,8
11,road_intersection,27.78535299776972,85.29421924122862,0.916011845137608,11
12,road_intersection,27.72877302401613,85.31304722129623,0.2302139908948808,14
13,road_intersection,27.764552322654165,85.3529997714832,0.0374125561761797,6
14,road_intersection,27.688682839765463,85.32694366400011,0.5548524693914834,0
16,relief_camp,27.710916957403168,85.31184143214908,0.8297897431324132,292
19,road_intersection,27.72633287982441,85.28734347784646,0.952899395069745,25
22,hospital,27.79413960487898,85.37068061465364,0.2559650905676027,165
29,road_intersection,27.73660979064849,85.35677964182128,0.7486080194569492,36
30,road_intersection,27.748952431181564,85.33286270806548,0.8907924908785249,4
32,road_intersection,27.66516507162763,85.3628040769332,0.5188583603864491,42
39,hospital,27.733962798936503,85.30020895502066,0.2624605159228647,110
41,road_intersection,27.76653563921157,85.33926407501555,0.2409705750056847,15
42,relief_camp,27.74005302040045,85.2892312551148,0.122757932411486,65
45,road_intersection,27.76095287149936,85.32605651862377,0.1792683081577391,33
49,hospital,27.627950496721866,85.3923795329099,0.3103236729000947,93
