node_id,latitude,longitude,type,current_capacity,damage_severity
290206276,11.8029963,76.0038754,road_intersection,90,0.0
290206277,11.8032432,76.0040832,road_intersection,399,0.0
290206284,11.8034486,76.0055022,road_intersection,345,0.0
290206299,11.810562,76.0148662,road_intersection,247,0.0
290206389,11.8008287,76.0055213,road_intersection,245,0.0
290206405,11.7968702,76.0045552,road_intersection,437,0.0
290206412,11.7923688,76.0029539,road_intersection,88,0.0
290206459,11.7859166,76.0051736,road_intersection,364,0.0
290206506,11.7812955,76.0041281,road_intersection,140,0.0
290206583,11.7587143,76.0066016,road_intersection,92,0.0
290206586,11.7557687,76.0072776,road_intersection,287,0.0
290206646,11.754294,76.0236607,road_intersection,490,0.0
290206695,11.7521522,76.0371735,road_intersection,381,0.0
290207300,11.6716164,76.3685959,road_intersection,393,0.0
290207400,11.6644843,76.3418172,road_intersection,373,0.0
290207613,11.6738539,76.2881586,road_intersection,404,0.0
290207628,11.6726682,76.2821699,road_intersection,281,0.0
290207636,11.6679031,76.2762481,road_intersection,107,0.0
290207641,11.6667594,76.2754792,road_intersection,428,0.0
290207647,11.6681199,76.2712137,road_intersection,253,0.0
290207690,11.6666213,76.2631243,road_intersection,275,0.0
290207706,11.6628924,76.2570624,road_intersection,217,0.0
290207708,11.6631962,76.2562649,road_intersection,132,0.0
290207761,11.6620171,76.2342697,road_intersection,467,0.0
290207777,11.6594769,76.2277867,road_intersection,402,0.0
290207785,11.6548011,76.2234267,road_intersection,340,0.0
290208907,11.8478107,76.0734344,road_intersection,231,0.0
290209016,11.8252595,76.0735842,road_intersection,421,0.0
290209227,11.8197034,76.083318,road_intersection,295,0.0
290209263,11.8218704,76.0898901,road_intersection,249,0.0
290209295,11.602051,76.0831062,road_intersection,253,0.0
290209298,11.6047183,76.0836757,road_intersection,152,0.0
290209352,11.6175828,76.0841155,road_intersection,91,0.0
290209387,11.6219687,76.0869454,road_intersection,300,0.0
290209468,11.6284656,76.0880579,road_intersection,450,0.0
290209502,11.6369532,76.1004268,road_intersection,78,0.0
290209503,11.6374099,76.101247,road_intersection,437,0.0
290209515,11.6417252,76.1045062,road_intersection,423,0.0
290209516,11.6417427,76.1052748,road_intersection,174,0.0
290209518,11.641247,76.1071739,road_intersection,334,0.0
290209589,11.6489295,76.1277716,road_intersection,124,0.0
