source_id,target_id,distance_km,is_blocked,effective_distance
2,3,4.316032292458344,True,431.60322924583437
2,41,1.8737521967113004,False,1.8737521967113004
5,6,7.927784610485777,False,7.927784610485777
5,42,8.991378613269182,False,8.991378613269182
5,32,14.465677616825324,True,1446.5677616825324
5,22,1.4339156772826414,True,143.39156772826414
6,7,2.2313491823399736,False,2.2313491823399736
7,14,7.7300888360372335,False,7.7300888360372335
10,11,12.959827491593252,False,12.959827491593252
11,12,6.558518901650266,True,655.8518901650266
11,13,6.228417185483358,False,6.228417185483358
12,13,5.59343470583815,False,5.59343470583815
12,39,1.3891193269351376,False,1.3891193269351376
13,14,8.817511874807604,False,8.817511874807604
13,22,3.72148359222328,False,3.72148359222328
14,41,8.741358163803817,False,8.741358163803817
29,30,2.7246337489388357,False,2.7246337489388357
41,42,5.736827954090944,False,5.736827954090944
