node_id,y,x,type,current_capacity,damage_severity
1051823060,19.6758579,85.4538861,road_intersection,146,0.0
1051823107,19.6663598,85.4378884,road_intersection,425,0.0
1051823179,19.6777251,85.4562434,road_intersection,210,0.0
1051829706,19.6697962,85.447246,road_intersection,301,0.0
1051829802,19.6902321,85.4727718,road_intersection,139,0.0
1051920581,19.6814252,85.4621741,road_intersection,217,0.0
1051920639,19.6796003,85.4974868,road_intersection,266,0.0
1051920688,19.6985583,85.4985292,road_intersection,383,0.0
1051920691,19.6937099,85.4950115,hospital,455,0.0
1051920734,19.6809133,85.471735,road_intersection,129,0.0
1051920835,19.6822925,85.4777226,road_intersection,302,0.0
1051920876,19.7022921,85.5016147,road_intersection,487,0.0
1051920955,19.6784148,85.4634623,road_intersection,57,0.0
1051921000,19.6905026,85.473234,road_intersection,308,0.0
1051921026,19.6912555,85.4925647,hospital,396,0.0
1051921159,19.6801414,85.4983308,road_intersection,96,0.0
1051921220,19.6828339,85.4805293,road_intersection,351,0.0
1052037500,19.6678131,85.4413445,road_intersection,240,0.0
1052037526,19.6709237,85.44801,road_intersection,321,0.0
1052038023,19.6701957,85.4471733,road_intersection,371,0.0
1052038333,19.6626247,85.4505017,road_intersection,115,0.0
1052040475,19.6713009,85.45063,road_intersection,80,0.0
1052041264,19.6667835,85.4405049,road_intersection,192,0.0
1052041622,19.6633036,85.4517083,hospital,167,0.0
1052041708,19.6714311,85.449898,road_intersection,180,0.0
1052042143,19.6628745,85.4532999,relief_camp,466,0.0
1052042261,19.6627778,85.4519307,road_intersection,360,0.0
1052042308,19.6694975,85.4447503,hospital,210,0.0
1052042422,19.6715352,85.4499947,road_intersection,323,0.0
1052042829,19.667669,85.4627811,hospital,121,0.0
1052043332,19.6711559,85.4485262,road_intersection,132,0.0
2283183703,19.6744528,85.452745,road_intersection,94,0.0
2283183766,19.7189181,85.5234818,relief_camp,242,0.0
5172762022,19.6801873,85.4991036,road_intersection,329,0.0
5172762027,19.6797254,85.4977929,road_intersection,279,0.0
5172762029,19.680469,85.4994888,road_intersection,301,0.0
